sample_id,patient_id,gt_count,topology_class,leaflet_dice,leaflet_iou,gt_semantic_oracle_success,predicted_semantic_oracle_success
m04_p01_s41,m04_p01,1,C,0.8947005959054974,0.8094644696189496,1.0,1.0
m05_p01_s00,m05_p01,2,C,0.8876754823291075,0.7980364257256688,1.0,1.0
m05_p01_s02,m05_p01,2,D,0.8952326028450596,0.8103358273882025,1.0,0.0
m05_p01_s03,m05_p01,3,C,0.907999494502717,0.8315009836824442,1.0,1.0
m05_p01_s05,m05_p01,2,D,0.9019906762996841,0.8214781576352698,1.0,0.0
m05_p01_s06,m05_p01,2,D,0.9153052203763447,0.843836660386545,1.0,0.0
m05_p01_s07,m05_p01,1,A,0.9183502503458084,0.8490273775216138,1.0,1.0
m05_p01_s08,m05_p01,1,C,0.8650251173515606,0.7621535335945436,1.0,1.0
m05_p01_s09,m05_p01,3,D,0.8838950198285977,0.7919461300968806,1.0,0.0
m05_p01_s10,m05_p01,2,D,0.8907645424569567,0.8030436968089716,1.0,1.0
m05_p01_s11,m05_p01,1,C,0.8695069504513834,0.7691395809983619,1.0,1.0
m05_p01_s12,m05_p01,3,C,0.9029763070295672,0.8231146809460063,1.0,1.0
m05_p01_s15,m05_p01,2,C,0.9248016733413259,0.860121942539916,1.0,1.0
m05_p01_s16,m05_p01,1,A,0.8617859284222714,0.7571387052241517,1.0,1.0
m05_p01_s17,m05_p01,1,A,0.9114612462152624,0.8373254907518957,1.0,1.0
m05_p01_s18,m05_p01,3,B,0.9436694398505258,0.8933467187742761,1.0,0.0
m05_p01_s19,m05_p01,2,C,0.931138384654957,0.8711496149614961,1.0,1.0
m05_p01_s20,m05_p01,2,C,0.8777180509797121,0.7820833719600754,1.0,1.0
m05_p01_s21,m05_p01,2,C,0.9154674623707463,0.8441124914259583,1.0,1.0
m05_p01_s22,m05_p01,3,C,0.9131848339595933,0.840239318049452,1.0,1.0
m05_p01_s23,m05_p01,1,A,0.935022099083053,0.8779732408325074,1.0,1.0
m05_p01_s24,m05_p01,3,D,0.8868805815502524,0.7967524120506494,1.0,0.0
m05_p01_s25,m05_p01,1,C,0.8375368119006268,0.7204845886517912,1.0,1.0
m05_p01_s26,m05_p01,2,D,0.915980314659459,0.8449849454271735,1.0,0.0
m05_p01_s27,m05_p01,2,C,0.9146713029108499,0.8427597145122918,1.0,1.0
m05_p01_s28,m05_p01,2,C,0.8702398567089791,0.7702872701580245,1.0,1.0
m05_p01_s29,m05_p01,2,E,0.9117765465943293,0.8378578349334977,1.0,1.0
m05_p01_s30,m05_p01,3,B,0.933856386101346,0.8759198797678275,1.0,0.0
m05_p01_s31,m05_p01,3,D,0.911159534185897,0.8368163774154391,1.0,0.0
m05_p01_s32,m05_p01,1,C,0.8774118627918056,0.7815973051112702,1.0,1.0
m05_p01_s33,m05_p01,1,A,0.8999965834159008,0.8181761709529134,1.0,1.0
m05_p01_s34,m05_p01,2,D,0.9287051297239663,0.8668996328570797,1.0,0.0
m05_p01_s35,m05_p01,3,C,0.8082179937594807,0.6781592518828231,1.0,0.0
m05_p01_s36,m05_p01,2,A,0.9232328019414461,0.8574117075687899,1.0,1.0
m05_p01_s37,m05_p01,3,C,0.9224447482684536,0.8560533177172656,1.0,1.0
m05_p01_s38,m05_p01,3,D,0.9208270876216569,0.853271127415796,1.0,0.0
m05_p01_s39,m05_p01,1,C,0.905583873957368,0.8274584524187573,1.0,1.0
m05_p01_s40,m05_p01,1,C,0.8545247281655559,0.7460001531041874,1.0,1.0
m05_p01_s41,m05_p01,2,D,0.9147073717716848,0.8428209572057059,1.0,0.0
m05_p01_s42,m05_p01,3,C,0.9042248424353909,0.8251919531056499,1.0,0.0
m05_p01_s43,m05_p01,3,D,0.922248973233253,0.8557161629434954,1.0,0.0
m05_p01_s44,m05_p01,2,D,0.892999407313476,0.806683766217596,1.0,0.0
m05_p01_s45,m05_p01,1,E,0.9410630680253373,0.8886866059817945,1.0,1.0
m05_p01_s46,m05_p01,1,C,0.9237344504040418,0.8582774490466798,1.0,1.0
m05_p01_s47,m05_p01,2,C,0.8852418296015045,0.7941110934267069,0.0,0.0
m05_p01_s48,m05_p01,3,D,0.8994593082874989,0.8172885519461268,1.0,0.0
m12_p02_s00,m12_p02,3,D,0.874119760800193,0.7763878700113374,1.0,0.0
m12_p02_s01,m12_p02,3,B,0.9263004530720591,0.8627184911480883,1.0,0.0
m12_p02_s02,m12_p02,3,D,0.836062174336982,0.7183048406049809,1.0,0.0
m12_p02_s03,m12_p02,1,C,0.8591271667062191,0.7530437588086465,1.0,1.0
m12_p02_s04,m12_p02,3,D,0.9065873811743871,0.8291356488533241,1.0,0.0
m12_p02_s05,m12_p02,3,D,0.8699352757501189,0.7698101330678807,1.0,0.0
m12_p02_s06,m12_p02,3,D,0.8613075146562444,0.7564004555595426,1.0,0.0
m12_p02_s07,m12_p02,3,D,0.9018924148497813,0.8213151671531387,1.0,0.0
m12_p02_s08,m12_p02,3,B,0.9041366463993252,0.8250450600694021,1.0,0.0
m12_p02_s09,m12_p02,3,D,0.89405045777032,0.8084007666098807,0.0,0.0
