sample_id,patient_id,gt_count,mask_condition,method_key,method_family,method_variant,metadata_fullimage_count,pred_instance_count,instance_exact_count_acc,instance_mean_matched_iou,median_matched_iou,all_iou_ge_0.50,all_iou_ge_0.70,all_iou_ge_0.80,instance_merged_rate,instance_fragmented_rate,instance_perfect_rate,unmatched_gt_instances,unmatched_pred_instances,matched_iou_per_gt,failure_attribution
m05_p01_s21,m05_p01,2,PREDICTED_SEMANTIC,prominent_maxima_rel30,prominent_maxima,prominence0p30_radius15,2,2,1.0,0.846550544180531,0.846550544180531,1.0,1.0,1.0,0.0,0.0,0.0,0,0,"[0.8400593932141037, 0.8530416951469583]",other
m05_p01_s21,m05_p01,2,PREDICTED_SEMANTIC,component_aware_maxima,component_aware_maxima,per_component_greedy,2,2,1.0,0.846550544180531,0.846550544180531,1.0,1.0,1.0,0.0,0.0,0.0,0,0,"[0.8400593932141037, 0.8530416951469583]",other
m05_p01_s22,m05_p01,3,GT_SEMANTIC,baseline_connected_components,connected_components,raw_cc,3,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,"[1.0, 1.0, 1.0]",seed_failures
m05_p01_s22,m05_p01,3,GT_SEMANTIC,global_distance_maxima_r09,global_distance_maxima,radius9_rel0p08,3,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,"[1.0, 1.0, 1.0]",other
m05_p01_s22,m05_p01,3,GT_SEMANTIC,global_distance_maxima_r15,global_distance_maxima,radius15_rel0p12,3,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,"[1.0, 1.0, 1.0]",other
m05_p01_s22,m05_p01,3,GT_SEMANTIC,prominent_maxima_rel20,prominent_maxima,prominence0p20_radius12,3,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,"[1.0, 1.0, 1.0]",other
m05_p01_s22,m05_p01,3,GT_SEMANTIC,prominent_maxima_rel30,prominent_maxima,prominence0p30_radius15,3,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,"[1.0, 1.0, 1.0]",other
m05_p01_s22,m05_p01,3,GT_SEMANTIC,component_aware_maxima,component_aware_maxima,per_component_greedy,3,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,"[1.0, 1.0, 1.0]",other
m05_p01_s22,m05_p01,3,PREDICTED_SEMANTIC,baseline_connected_components,connected_components,raw_cc,3,4,0.0,0.8131362234459284,0.8219292158223456,1.0,1.0,0.0,0.0,1.0,0.0,0,1,"[0.7624110640338956, 0.8219292158223456, 0.8550683904815439]",false_semantic_bridges
m05_p01_s22,m05_p01,3,PREDICTED_SEMANTIC,global_distance_maxima_r09,global_distance_maxima,radius9_rel0p08,3,4,0.0,0.8131362234459284,0.8219292158223456,1.0,1.0,0.0,0.0,1.0,0.0,0,1,"[0.7624110640338956, 0.8219292158223456, 0.8550683904815439]",false_semantic_bridges
m05_p01_s22,m05_p01,3,PREDICTED_SEMANTIC,global_distance_maxima_r15,global_distance_maxima,radius15_rel0p12,3,4,0.0,0.8131362234459284,0.8219292158223456,1.0,1.0,0.0,0.0,1.0,0.0,0,1,"[0.7624110640338956, 0.8219292158223456, 0.8550683904815439]",false_semantic_bridges
m05_p01_s22,m05_p01,3,PREDICTED_SEMANTIC,prominent_maxima_rel20,prominent_maxima,prominence0p20_radius12,3,4,0.0,0.8131362234459284,0.8219292158223456,1.0,1.0,0.0,0.0,1.0,0.0,0,1,"[0.7624110640338956, 0.8219292158223456, 0.8550683904815439]",false_semantic_bridges
m05_p01_s22,m05_p01,3,PREDICTED_SEMANTIC,prominent_maxima_rel30,prominent_maxima,prominence0p30_radius15,3,4,0.0,0.8131362234459284,0.8219292158223456,1.0,1.0,0.0,0.0,1.0,0.0,0,1,"[0.7624110640338956, 0.8219292158223456, 0.8550683904815439]",false_semantic_bridges
m05_p01_s22,m05_p01,3,PREDICTED_SEMANTIC,component_aware_maxima,component_aware_maxima,per_component_greedy,3,4,0.0,0.8131362234459284,0.8219292158223456,1.0,1.0,0.0,0.0,1.0,0.0,0,1,"[0.7624110640338956, 0.8219292158223456, 0.8550683904815439]",false_semantic_bridges
m05_p01_s23,m05_p01,1,GT_SEMANTIC,baseline_connected_components,connected_components,raw_cc,1,2,0.0,0.6242318995458188,0.6242318995458188,1.0,0.0,0.0,0.0,1.0,0.0,0,1,[0.6242318995458188],seed_failures
m05_p01_s23,m05_p01,1,GT_SEMANTIC,global_distance_maxima_r09,global_distance_maxima,radius9_rel0p08,1,2,0.0,0.6242318995458188,0.6242318995458188,1.0,0.0,0.0,0.0,1.0,0.0,0,1,[0.6242318995458188],seed_failures
m05_p01_s23,m05_p01,1,GT_SEMANTIC,global_distance_maxima_r15,global_distance_maxima,radius15_rel0p12,1,2,0.0,0.6242318995458188,0.6242318995458188,1.0,0.0,0.0,0.0,1.0,0.0,0,1,[0.6242318995458188],seed_failures
m05_p01_s23,m05_p01,1,GT_SEMANTIC,prominent_maxima_rel20,prominent_maxima,prominence0p20_radius12,1,2,0.0,0.6242318995458188,0.6242318995458188,1.0,0.0,0.0,0.0,1.0,0.0,0,1,[0.6242318995458188],seed_failures
m05_p01_s23,m05_p01,1,GT_SEMANTIC,prominent_maxima_rel30,prominent_maxima,prominence0p30_radius15,1,2,0.0,0.6242318995458188,0.6242318995458188,1.0,0.0,0.0,0.0,1.0,0.0,0,1,[0.6242318995458188],seed_failures
m05_p01_s23,m05_p01,1,GT_SEMANTIC,component_aware_maxima,component_aware_maxima,per_component_greedy,1,2,0.0,0.6242318995458188,0.6242318995458188,1.0,0.0,0.0,0.0,1.0,0.0,0,1,[0.6242318995458188],seed_failures
m05_p01_s23,m05_p01,1,PREDICTED_SEMANTIC,baseline_connected_components,connected_components,raw_cc,1,1,1.0,0.8779732408325074,0.8779732408325074,1.0,1.0,1.0,0.0,0.0,0.0,0,0,[0.8779732408325074],seed_failures
m05_p01_s23,m05_p01,1,PREDICTED_SEMANTIC,global_distance_maxima_r09,global_distance_maxima,radius9_rel0p08,1,1,1.0,0.8779732408325074,0.8779732408325074,1.0,1.0,1.0,0.0,0.0,0.0,0,0,[0.8779732408325074],other
m05_p01_s23,m05_p01,1,PREDICTED_SEMANTIC,global_distance_maxima_r15,global_distance_maxima,radius15_rel0p12,1,1,1.0,0.8779732408325074,0.8779732408325074,1.0,1.0,1.0,0.0,0.0,0.0,0,0,[0.8779732408325074],other
m05_p01_s23,m05_p01,1,PREDICTED_SEMANTIC,prominent_maxima_rel20,prominent_maxima,prominence0p20_radius12,1,1,1.0,0.8779732408325074,0.8779732408325074,1.0,1.0,1.0,0.0,0.0,0.0,0,0,[0.8779732408325074],other
m05_p01_s23,m05_p01,1,PREDICTED_SEMANTIC,prominent_maxima_rel30,prominent_maxima,prominence0p30_radius15,1,1,1.0,0.8779732408325074,0.8779732408325074,1.0,1.0,1.0,0.0,0.0,0.0,0,0,[0.8779732408325074],other
m05_p01_s23,m05_p01,1,PREDICTED_SEMANTIC,component_aware_maxima,component_aware_maxima,per_component_greedy,1,1,1.0,0.8779732408325074,0.8779732408325074,1.0,1.0,1.0,0.0,0.0,0.0,0,0,[0.8779732408325074],other
m05_p01_s24,m05_p01,3,GT_SEMANTIC,baseline_connected_components,connected_components,raw_cc,3,5,0.0,0.7378094952480382,0.6883684001587932,1.0,0.0,0.0,0.0,1.0,0.0,0,2,"[0.5250600855853216, 0.6883684001587932, 1.0]",seed_failures
m05_p01_s24,m05_p01,3,GT_SEMANTIC,global_distance_maxima_r09,global_distance_maxima,radius9_rel0p08,3,5,0.0,0.7378094952480382,0.6883684001587932,1.0,0.0,0.0,0.0,1.0,0.0,0,2,"[0.5250600855853216, 0.6883684001587932, 1.0]",seed_failures
m05_p01_s24,m05_p01,3,GT_SEMANTIC,global_distance_maxima_r15,global_distance_maxima,radius15_rel0p12,3,5,0.0,0.7378094952480382,0.6883684001587932,1.0,0.0,0.0,0.0,1.0,0.0,0,2,"[0.5250600855853216, 0.6883684001587932, 1.0]",seed_failures
m05_p01_s24,m05_p01,3,GT_SEMANTIC,prominent_maxima_rel20,prominent_maxima,prominence0p20_radius12,3,5,0.0,0.7378094952480382,0.6883684001587932,1.0,0.0,0.0,0.0,1.0,0.0,0,2,"[0.5250600855853216, 0.6883684001587932, 1.0]",seed_failures
m05_p01_s24,m05_p01,3,GT_SEMANTIC,prominent_maxima_rel30,prominent_maxima,prominence0p30_radius15,3,5,0.0,0.7378094952480382,0.6883684001587932,1.0,0.0,0.0,0.0,1.0,0.0,0,2,"[0.5250600855853216, 0.6883684001587932, 1.0]",seed_failures
m05_p01_s24,m05_p01,3,GT_SEMANTIC,component_aware_maxima,component_aware_maxima,per_component_greedy,3,5,0.0,0.7378094952480382,0.6883684001587932,1.0,0.0,0.0,0.0,1.0,0.0,0,2,"[0.5250600855853216, 0.6883684001587932, 1.0]",seed_failures
