mask_condition,method_key,gt_count,n,exact_instance_count,mean_matched_iou,median_matched_iou,all_iou_ge_0.50,all_iou_ge_0.70,all_iou_ge_0.80,merge_rate,fragmentation_rate,perfect_rate
PREDICTED_SEMANTIC,global_distance_maxima_r09,2,31,0.3225806451612903,0.577504703272914,0.577504703272914,0.5161290322580645,0.3548387096774194,0.22580645161290322,0.0,0.6774193548387096,0.0
PREDICTED_SEMANTIC,global_distance_maxima_r09,3,46,0.30434782608695654,0.4704518806633816,0.5090869215185373,0.15217391304347827,0.06521739130434782,0.0,0.10869565217391304,0.5869565217391305,0.0
PREDICTED_SEMANTIC,global_distance_maxima_r15,1,16,0.5625,0.7679048920142235,0.7679048920142235,1.0,0.75,0.4375,0.0,0.4375,0.0
PREDICTED_SEMANTIC,global_distance_maxima_r15,2,31,0.3225806451612903,0.5774883212834659,0.5774883212834659,0.5161290322580645,0.3548387096774194,0.22580645161290322,0.0,0.6774193548387096,0.0
PREDICTED_SEMANTIC,global_distance_maxima_r15,3,46,0.30434782608695654,0.46686710903384193,0.5057666093111594,0.15217391304347827,0.06521739130434782,0.0,0.10869565217391304,0.5869565217391305,0.0
PREDICTED_SEMANTIC,prominent_maxima_rel20,1,16,0.5625,0.7679048920142235,0.7679048920142235,1.0,0.75,0.4375,0.0,0.4375,0.0
PREDICTED_SEMANTIC,prominent_maxima_rel20,2,31,0.3225806451612903,0.577504703272914,0.577504703272914,0.5161290322580645,0.3548387096774194,0.22580645161290322,0.0,0.6774193548387096,0.0
PREDICTED_SEMANTIC,prominent_maxima_rel20,3,46,0.30434782608695654,0.4704518806633816,0.5090869215185373,0.15217391304347827,0.06521739130434782,0.0,0.10869565217391304,0.5869565217391305,0.0
PREDICTED_SEMANTIC,prominent_maxima_rel30,1,16,0.5625,0.7679048920142235,0.7679048920142235,1.0,0.75,0.4375,0.0,0.4375,0.0
PREDICTED_SEMANTIC,prominent_maxima_rel30,2,31,0.3225806451612903,0.5774883212834659,0.5774883212834659,0.5161290322580645,0.3548387096774194,0.22580645161290322,0.0,0.6774193548387096,0.0
PREDICTED_SEMANTIC,prominent_maxima_rel30,3,46,0.30434782608695654,0.46686710903384193,0.5057666093111594,0.15217391304347827,0.06521739130434782,0.0,0.10869565217391304,0.5869565217391305,0.0
